          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1870  -0.9372  -1.1371  -0.7065  -0.6981  -1.1094  -0.9637  -0.8966  -0.7692  -0.3982  -0.7985  -0.6791  -0.7458
1871  -0.1872  -0.5271  -0.3065  -0.3881  -0.5394  -0.4137  -0.4666  -0.2192  -0.1082  -0.2185  -0.1891  -0.5258
1872  -0.6572  -0.5671  -0.3765  -0.6581  -0.4494  -0.4137  -0.1766  -0.7392  -0.8882  -0.8285  -0.6791  -0.8258
1873  -0.7272  -0.9571  -1.1865  -0.5581  -0.3694  -0.3637  -0.4366  -0.2792  -0.2082  -0.6585  -0.6591  -0.6458
1874  -0.8772  -1.0071  -1.2865  -0.8281  -0.6994  -0.6137  -0.8666  -0.9392  -0.9982  -1.1285  -1.2091  -1.0858
1875  -0.6472  -0.3171  -0.4765  -0.7581  -0.9294  -0.6537  -0.7166  -0.6992  -0.7782  -0.7185  -0.5291  -0.7058
1876  -0.8872  -1.1471  -1.0065  -1.0681  -0.9194  -0.3237  -0.2066  -0.0492   0.1117   0.2314   0.2608   0.2741
1877   0.4127   0.5128   0.6434   0.6118   0.9205   1.0962   1.5533   1.6607   1.8817   2.0614   2.2008   2.5341
1878   2.4727   2.4828   1.4334   1.0318   0.9905   1.0362   0.3933   0.0007  -0.1882  -0.4185  -0.5891  -0.7058
1879  -0.4872  -0.1271  -0.1165  -0.2581  -0.6694  -0.5537  -0.6266  -0.5792  -0.6882  -0.8185  -1.0191  -0.9758
1880  -0.9372  -0.6771  -0.5065  -0.4581  -0.5494  -0.4937  -0.3866  -0.1292   0.1017   0.2814   0.3608   0.2341
1881   0.3527   0.2828   0.4434   0.5218   0.3305   0.3462  -0.1266  -0.0492  -0.1982  -0.3085  -0.4791  -0.3158
1882  -0.3872  -0.4971  -0.4065   0.2118   0.1805  -0.2837  -0.4366  -0.2092  -0.3782  -0.5385  -0.7991  -0.7058
1883  -0.3972  -0.4371  -0.2765  -0.1181  -0.2094  -0.0937   0.1233   0.0907  -0.0382  -0.2985  -0.1091  -0.0958
1884  -0.0472   0.0428   0.1234   0.3718   0.5605  -0.0237   0.4233   0.3207   0.3217   0.4014   0.4108   0.3941
1885   0.1827   0.3228   0.2434   0.0918   0.6005   0.2762   0.2133   0.4507   0.6517   0.8314   0.9208   1.0741
1886   0.2327  -0.0371   0.0134  -0.2581  -0.6794  -0.7837  -0.8366  -0.9092  -1.0782  -1.0285  -1.2291  -1.3858
1887  -0.6172  -0.9671  -1.0565  -1.0681  -0.9794  -0.4537  -0.4066  -0.5092  -0.2082  -0.0085   0.1508   0.2041
1888   0.2127   0.7128   0.5234   0.4118   0.6405   0.5162   0.6933   1.0407   0.7117   1.5414   2.3208   1.7241
1889   2.0427   1.5328   0.9534   0.5718   0.4905   0.2062  -0.6166  -0.8792  -0.7882  -1.1985  -0.9691  -1.1958
1890  -2.4272  -2.0571  -1.0265  -1.0281  -0.8294  -0.7537  -0.7866  -1.2592  -1.1582  -1.1485  -0.9591  -0.6358
1891  -0.3872  -0.1971   0.0534   0.2618   0.2905   0.3962   0.2533   0.1707   0.0517   0.0814   0.1708   0.0641
1892  -0.4372  -0.2871  -0.4565  -0.5381  -0.5594  -0.4537  -0.4866  -0.5092  -0.9382  -1.4285  -1.5091  -1.1258
1893  -1.1672  -1.1071  -1.1165  -1.1881  -1.1494  -1.0737  -1.1766  -1.1792  -1.1382  -1.2485  -1.1891  -0.9458
1894  -1.0272  -1.0771  -0.9365  -0.8081  -0.8294  -0.7237  -0.7466  -0.6892  -0.9682  -0.7085  -0.8091  -0.4258
1895  -0.6672  -0.4271  -0.2765  -0.0581   0.1305  -0.1037  -0.1266   0.4707   0.5517   0.4314   0.5608   0.5341
1896   0.2227   0.1428   0.2734   0.1018   0.1205  -0.0937   0.5733   1.1607   1.1717   1.2114   1.6208   1.6041
1897   1.5527   1.1928   0.6634  -0.1081  -0.0094   0.0862   0.2033  -0.0292  -0.1082  -0.4485  -0.4991  -0.3458
1898  -0.4472  -0.5171  -0.6665  -0.4981  -0.4194  -0.1737  -0.4966  -0.6492  -0.0582  -0.2185  -0.5391  -0.7358
1899  -0.6872  -0.6571  -0.4465  -0.2281   0.2005   0.2062   0.1133   0.7507   0.5617   1.0414   1.4008   1.5541
1900   1.4727   1.3528   1.1134   0.7718   0.7005   0.8762   0.8833   0.8907   0.6917   0.5314   0.2508   0.6541
1901   0.8827   0.3528   0.1634  -0.0181  -0.0194  -0.1437  -0.1566  -0.2592  -0.1682  -0.1985  -0.2791  -0.2958
1902  -0.4372  -0.2071  -0.1465   0.3118   0.6405   0.8762   1.5833   1.3307   1.5717   1.5114   1.6508   1.4441
1903   1.3927   0.9828   0.9134   0.4718   0.0705   0.4062  -0.3466  -0.2092  -0.4682  -0.3085  -0.6491  -0.9658
1904  -0.6772  -0.7371  -0.7365  -0.6081  -0.2294   0.2562   0.8933   0.6607   0.1417   1.0314   0.2708   0.9041
1905   0.7427   0.7728   1.0434   0.4018   1.2405   0.7062   0.9633   1.1607   1.5617   1.2314   0.9408   1.2241
1906   0.9527   0.7328   0.9234   0.5618   0.1805   0.2562  -0.3566  -0.2492  -0.6782  -0.7485  -0.2091  -0.4658
1907  -0.5072  -0.3471  -0.3065  -0.4481  -0.3094  -0.2937  -0.4066  -0.5392   0.2617  -0.1385  -0.1391  -0.0458
1908  -0.2172   0.1228  -0.5065  -0.4381  -0.2894  -0.1037  -0.4966  -0.2792  -0.3882  -0.3885  -0.7591  -1.1058
